City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,pitimbu,-7.4706,-34.8086,27.33,70,34,6.07,BR,1692213890
263,woolgoolga,-30.1106,153.2007,13.36,88,63,4.13,AU,1692213891
264,san patricio,28.017,-97.5169,39.48,33,28,3.29,US,1692213522
265,casa branca,-21.7739,-47.0864,27.46,41,100,1.46,BR,1692213891
266,qianzhou,28.3167,109.7167,25.64,89,14,0.87,CN,1692213891
267,pio xii,-3.8325,-45.1525,36.27,25,12,1.82,BR,1692213892
268,saldanha,-33.0117,17.9442,13.03,91,0,5.71,ZA,1692213676
269,susuman,62.7833,148.1667,12.12,89,100,0.83,RU,1692213500
270,polyarnyy,69.1989,33.4478,13.99,95,100,3.58,RU,1692213892
271,greymouth,-42.4667,171.2,2.24,86,9,3.02,NZ,1692213893
272,greenville,35.6127,-77.3663,31.09,68,75,2.57,US,1692213336
273,kongsvinger,60.1905,11.9977,17.81,63,52,1.52,NO,1692213743
274,ulanhot,46.0833,122.0833,20.41,92,17,1.08,CN,1692213803
275,umm kaddadah,13.6017,26.6876,34.55,24,89,2.96,SD,1692213894
276,gobabis,-22.45,18.9667,18.97,18,42,5.71,NA,1692213894
277,lockwood,45.8191,-108.4149,29.12,42,75,5.14,US,1692213894
278,salalah,17.0151,54.0924,26.05,94,100,3.6,OM,1692213894
279,arno,60.1167,18.6333,18.21,80,88,3.29,SE,1692213894
280,santa luzia,-19.7697,-43.8514,23.6,55,0,3.09,BR,1692213895
281,raja,8.4596,25.678,19.74,98,100,1.18,SS,1692213895
282,whitehorse,60.7161,-135.0538,17.43,55,75,7.72,CA,1692213518
283,calama,-22.4667,-68.9333,22.27,8,0,8.75,CL,1692213848
284,kincardine,56.0667,-3.7167,18.64,83,7,2.46,GB,1692213896
285,aitape,-3.1374,142.3475,25.55,86,100,1.81,PG,1692213896
286,galle,6.0367,80.217,26.32,83,16,3.89,LK,1692213896
287,ponta delgada,37.7333,-25.6667,24.4,83,20,6.69,PT,1692213860
288,kavieng,-2.5744,150.7967,26.0,83,100,5.87,PG,1692213897
289,atafu village,-8.5421,-172.5159,28.74,72,28,7.1,TK,1692213487
290,tsarevo,42.1667,27.85,23.44,86,3,5.12,BG,1692213897
291,badger,64.8,-147.5333,16.93,69,75,3.6,US,1692213514
292,okhotsk,59.3833,143.3,14.23,95,100,2.89,RU,1692213898
293,cozumel,20.5083,-86.9458,33.3,72,40,3.6,MX,1692213898
